<<set:MS>><<set:M>><<set:S>>Agony Hold,Breach Ring,yshnor87,afce8ed1f6f1df8512dd7a0da74e4694300f806e12dc785b01ddd0e2f0d07373,"['+34 to Strength', '+39 to maximum Energy Shield', '+63 to maximum Life', '+25% to Fire Resistance', '35% increased Elemental Damage with Attack Skills']"
<<set:MS>><<set:M>><<set:S>>Empyrean Grasp,Two-Stone Ring,itzks,f5dfa57c5684dc5a185e26e924d8f3b375ac01acacd83e700d711ccf0b67286e,"['Adds 1 to 2 Physical Damage to Attacks', '+248 to Accuracy Rating', '+68 to maximum Life', '16% increased Rarity of Items found', '+4% to all Elemental Resistances']"
<<set:MS>><<set:M>><<set:S>>Apocalypse Knuckle,Two-Stone Ring,itzks,65483e6dc620e76957cfe924802483874c226b19b1be5d5bdb9f790392fca65e,"['+13 to Dexterity', 'Adds 6 to 16 Cold Damage to Attacks', '+64 to Accuracy Rating', '+72 to maximum Life', '+25% to Cold Resistance', '33% increased Elemental Damage with Attack Skills']"
<<set:MS>><<set:M>><<set:S>>Entropy Gyre,Moonstone Ring,itzks,d723f6da5725891e794ac219d27488293e19ad44056d27591e0a3b0087ac0437,"['Adds 14 to 26 Fire Damage to Attacks', '20% increased Lightning Damage', '15% increased Accuracy Rating', '+53 to maximum Life', '29% increased Melee Damage']"
<<set:MS>><<set:M>><<set:S>>Miracle Finger,Paua Ring,Cryxus99,49006a240e4d7e19db5e238237419edd706a1e71c446073cc13247ceafbe10fb,"['+36 to Accuracy Rating', '+54 to Evasion Rating', '+10 to maximum Energy Shield', '+48 to maximum Life', '30% increased Mana Regeneration Rate']"
<<set:MS>><<set:M>><<set:S>>Apocalypse Hold,Two-Stone Ring,Cryxus99,189d86c9e6679026eb0d7bca09b3bcc7d65936f945de8e3cac150dfaa17944c1,"['+31 to Strength', 'Adds 5 to 7 Fire Damage to Attacks', '+13 to Accuracy Rating', '+60 to maximum Life']"
<<set:MS>><<set:M>><<set:S>>Brimstone Twirl,Two-Stone Ring,Cryxus99,99a81e2e7628a04d2fadb0c4f96bc28952a5ad6eda8bbcae3bcb581dac497535,"['+36 to Strength', 'Adds 2 to 28 Lightning Damage to Attacks', '6% increased Accuracy Rating', '+43 to maximum Life', '+32% to Fire Resistance', '15% increased Light Radius']"
<<set:MS>><<set:M>><<set:S>>Rapture Whorl,Two-Stone Ring,Cryxus99,dfd7d4876a07af576f565c8f5ffc7547fdaac6a54711cd07a098fbf23d4e7801,"['Adds 8 to 14 Physical Damage to Attacks', '+42 to Strength', '+31 to Accuracy Rating', '+98 to Evasion Rating', '+76 to maximum Life', '3.6 Life Regenerated per second', '10% increased Light Radius']"
<<set:MS>><<set:M>><<set:S>>Miracle Grip,Ruby Ring,Cryxus99,5f178e87c62b71172da64e090b03dbd9f41a3d22ad3b63e9d77462fec5182503,"['+33 to Strength', 'Adds 7 to 11 Fire Damage to Attacks', '+63 to maximum Life', '21% increased Mana Regeneration Rate']"
<<set:MS>><<set:M>><<set:S>>Plague Whorl,Moonstone Ring,mindtrix0,de997bb528277b143fe7feb05067dee8f3139fe22f82b3bdfb36bfb3c503be99,"['Adds 6 to 11 Physical Damage to Attacks', '+139 to Accuracy Rating', '+7 to maximum Energy Shield', '+74 to maximum Life', '10% increased Rarity of Items found', '+15% to all Elemental Resistances']"
<<set:MS>><<set:M>><<set:S>>Dragon Knot,Two-Stone Ring,TheNextHesus,5a6e3fb338df5f8365e397f6be47bdbc6780cc4cd0f51db22ab995c214bcbc72,"['Adds 10 to 23 Cold Damage to Attacks', '+58 to Accuracy Rating', '+74 to maximum Life', '15.5 Life Regenerated per second', '25% increased Rarity of Items found']"
<<set:MS>><<set:M>><<set:S>>Havoc Hold,Breach Ring,TheNextHesus,1c99eb13f7708dec91cc2c7002337fe20c839e17e4a1e1b807d5f6fe727fe9f5,"['+13 to Dexterity', '+127 to Accuracy Rating', '+13 to maximum Energy Shield', '+46 to maximum Life', '+41% to Lightning Resistance']"
<<set:MS>><<set:M>><<set:S>>Honour Whorl,Two-Stone Ring,TheNextHesus,e8413c01a57755b3584684a125f1954363b9ca049a8f4102e8f7583611e0ccb3,"['Adds 6 to 9 Physical Damage to Attacks', '+50 to Intelligence', '+6 to maximum Life', '+21% to Cold Resistance']"
<<set:MS>><<set:M>><<set:S>>Morbid Circle,Iron Ring,TheNextHesus,e52bcef7974d2b30dabd126b9dd131e510f2e4b7d29a678308a2af9d6d6c421a,"['+39 to Strength', '10% increased Cold Damage', '+45 to maximum Energy Shield', '+60 to maximum Life', '+3% to all Elemental Resistances']"
<<set:MS>><<set:M>><<set:S>>Victory Band,Diamond Ring,TheNextHesus,b0cf3247cccb3067f94a901d73414b92043b16211c59d7d0b7e1d0a0d82a8ac6,"['+17 to Dexterity', '+24 to Intelligence', '+26 to maximum Energy Shield', '+59 to maximum Life']"
<<set:MS>><<set:M>><<set:S>>Sol Coil,Sapphire Ring,TheNextHesus,a83e415fdb7f687ed6015701f6cabce6dc2d827325f282ef087d119fb4cb7043,"['Adds 4 to 10 Physical Damage to Attacks', '+21 to Dexterity', '+31 to Accuracy Rating', '+78 to maximum Life', '+62 to maximum Mana', '10% increased Light Radius']"
<<set:MS>><<set:M>><<set:S>>Corruption Twirl,Breach Ring,TheNextHesus,dbabcf71efc3b4b13daf85d5e81111e063c10c357cf058e3b3f2324d520668d0,"['Adds 1 to 2 Physical Damage to Attacks', '5% increased Attack Speed', '+76 to maximum Life', '+12% to all Elemental Resistances', '+7 Life gained on Kill']"
<<set:MS>><<set:M>><<set:S>>Vortex Nail,Breach Ring,TheNextHesus,d20ee774c034be4e0380f2457af0b2416d76b3a45401d47d07e9d3ed3e05e1b3,"['Adds 6 to 10 Physical Damage to Attacks', '+73 to maximum Life', '+25% to Fire Resistance', '31% increased Elemental Damage with Attack Skills']"
<<set:MS>><<set:M>><<set:S>>Loath Coil,Sapphire Ring,TheNextHesus,82fc377eb127b8cd4b5c70598c8157200174d2134e01be86945ab2111647f639,"['Adds 5 to 10 Physical Damage to Attacks', '+74 to maximum Life', '+61 to maximum Mana', '+24% to Fire Resistance']"
<<set:MS>><<set:M>><<set:S>>Havoc Spiral,Amethyst Ring,TheNextHesus,ea3fbe8c2de9653ec09d3bb4d82cef1a224a333100d599e75178321ec80708fe,"['+15 to Dexterity', '+28 to Intelligence', '17% increased Lightning Damage', '+76 to maximum Life']"
<<set:MS>><<set:M>><<set:S>>Golem Turn,Diamond Ring,TheNextHesus,314e6a019e8e7d1607265fa399b91b93b79cfcf04a943f6637af83806bfdfe79,"['+329 to Accuracy Rating', '+70 to maximum Life', '11.7 Life Regenerated per second', '+31% to Fire Resistance']"
<<set:MS>><<set:M>><<set:S>>Havoc Gyre,Gold Ring,TheNextHesus,e439ab35a42b76c07430603cf6731f98532834b97f9225ef0d38156e66fa976c,"['Adds 8 to 14 Physical Damage to Attacks', '+327 to Accuracy Rating', '+70 to maximum Life', '12 Life Regenerated per second']"
<<set:MS>><<set:M>><<set:S>>Horror Turn,Paua Ring,Cleave,6916d0ac21f5d5a8436919fd2e9bd94985c07381b4570a5bc07713a8f54704ad,"['+19 to Dexterity', 'Adds 12 to 23 Cold Damage to Attacks', '+104 to Accuracy Rating', '+56 to maximum Life', '+12% to all Elemental Resistances']"
<<set:MS>><<set:M>><<set:S>>Brood Twirl,Unset Ring,Cleave,98f6ed98f74a50696e6f14b709fb9cebf9d11e71eb9e6106c4350b8bdfbfda7e,"['Adds 3 to 5 Physical Damage to Attacks', '+37 to Intelligence', 'Adds 8 to 18 Fire Damage to Attacks', '+64 to maximum Life', '44% increased Mana Regeneration Rate', '+20% to Lightning Resistance']"
<<set:MS>><<set:M>><<set:S>>Glyph Coil,Iron Ring,Cleave,f7b299643f518b07a074ec1f29d78a93902af24f43d006f29649181582532d41,"['Adds 5 to 9 Physical Damage to Attacks', '+19 to Intelligence', '+65 to maximum Life', '+33% to Fire Resistance']"
<<set:MS>><<set:M>><<set:S>>Blood Spiral,Opal Ring,Shirro25,201348796bb71c2fbd62a85a5420940d1ce3768cfcb483c831ff39879695b935,"['+49 to Intelligence', 'Adds 1 to 2 Cold Damage to Attacks', '+65 to maximum Life', '+30% to Fire Resistance', '0.24% of Physical Attack Damage Leeched as Life']"
<<set:MS>><<set:M>><<set:S>>Glyph Eye,Two-Stone Ring,Cazalmas,02e131249d0e315a782477437a7527e082f42de6f9e177380396737a4eae38b6,"['+29 to Intelligence', '+40 to maximum Life', '+26% to Chaos Resistance', '+4 Mana gained on Kill']"
<<set:MS>><<set:M>><<set:S>>Pain Twirl,Breach Ring,Cazalmas,6cfdcc437e9ce3412648ffe6a668ee8bea1e7f50bc4201ddde4350a30f3b20ab,"['+73 to maximum Life', '8% increased Rarity of Items found', '+29% to Cold Resistance', '+14% to Lightning Resistance']"
<<set:MS>><<set:M>><<set:S>>Kraken Spiral,Two-Stone Ring,Cazalmas,2a654ac7209ffa2231e66ae62dcc328d84b9f13decb0c52649cd282a36daee11,"['Adds 6 to 9 Physical Damage to Attacks', '+34 to Dexterity', '11% increased Lightning Damage', 'Adds 4 to 43 Lightning Damage to Attacks', '5% increased Cast Speed', '+59 to maximum Life']"
<<set:MS>><<set:M>><<set:S>>Damnation Spiral,Gold Ring,Cazalmas,bbb65bbc3aaa667b8cfb8176412371ffed6efa79b74ff78c0ab47a486c692688,"['+307 to Accuracy Rating', '+47 to maximum Life', '+36% to Cold Resistance', '+22% to Lightning Resistance']"
